,arrest_month,arrest_year,arrest_count
0,1,2018,477
5,2,2018,414
10,3,2018,396
15,4,2018,318
20,5,2018,303
25,6,2018,331
30,7,2018,289
35,8,2018,353
40,9,2018,299
45,10,2018,386
50,11,2018,322
55,12,2018,363
1,1,2019,344
6,2,2019,290
11,3,2019,368
16,4,2019,382
21,5,2019,297
26,6,2019,224
31,7,2019,276
36,8,2019,244
41,9,2019,201
46,10,2019,226
51,11,2019,164
56,12,2019,145
2,1,2020,221
7,2,2020,232
12,3,2020,184
17,4,2020,45
22,5,2020,107
27,6,2020,46
32,7,2020,76
37,8,2020,70
42,9,2020,51
47,10,2020,78
52,11,2020,56
57,12,2020,68
3,1,2021,65
8,2,2021,72
13,3,2021,51
18,4,2021,54
23,5,2021,58
28,6,2021,48
33,7,2021,49
38,8,2021,51
43,9,2021,43
48,10,2021,38
53,11,2021,34
58,12,2021,51
4,1,2022,49
9,2,2022,49
14,3,2022,66
19,4,2022,49
24,5,2022,43
29,6,2022,42
34,7,2022,40
39,8,2022,59
44,9,2022,66
49,10,2022,79
54,11,2022,62
59,12,2022,63
